division,state,division_type
Adelaide,South Australia,Inner Metropolitan
Aston,Victoria,Outer Metropolitan
Ballarat,Victoria,Provincial
Banks,New South Wales,Inner Metropolitan
Barker,South Australia,Rural
Barton,New South Wales,Inner Metropolitan
Bass,Tasmania,Provincial
Batman,Victoria,Inner Metropolitan
Bean,Australian Capital Territory,Inner Metropolitan
Bendigo,Victoria,Provincial
Bennelong,New South Wales,Inner Metropolitan
Berowra,New South Wales,Outer Metropolitan
Blair,Queensland,Provincial
Blaxland,New South Wales,Inner Metropolitan
Bonner,Queensland,Outer Metropolitan
Bonython,South Australia,Inner Metropolitan
Boothby,South Australia,Outer Metropolitan
Bowman,Queensland,Outer Metropolitan
Braddon,Tasmania,Rural
Bradfield,New South Wales,Inner Metropolitan
Brand,Western Australia,Outer Metropolitan
Brisbane,Queensland,Inner Metropolitan
Bruce,Victoria,Outer Metropolitan
Bullwinkel,Western Australia,Outer Metropolitan
Burke,Western Australia,Outer Metropolitan
Burt,Western Australia,Outer Metropolitan
Calare,New South Wales,Rural
Calwell,Victoria,Outer Metropolitan
Canberra,Australian Capital Territory,Inner Metropolitan
Canning,Western Australia,Outer Metropolitan
Capricornia,Queensland,Provincial
Casey,Victoria,Rural
Charlton,New South Wales,Provincial
Chifley,New South Wales,Outer Metropolitan
Chisholm,Victoria,Inner Metropolitan
Clark,Tasmania,Inner Metropolitan
Cook,New South Wales,Inner Metropolitan
Cooper,Victoria,Inner Metropolitan
Corangamite,Victoria,Provincial
Corio,Victoria,Provincial
Cowan,Western Australia,Inner Metropolitan
Cowper,New South Wales,Provincial
Cunningham,New South Wales,Provincial
Curtin,Western Australia,Inner Metropolitan
Dawson,Queensland,Rural
Deakin,Victoria,Outer Metropolitan
Denison,Tasmania,Inner Metropolitan
Dickson,Queensland,Outer Metropolitan
Dobell,New South Wales,Provincial
Dunkley,Victoria,Outer Metropolitan
Durack,Western Australia,Rural
Eden-Monaro,New South Wales,Rural
Fadden,Queensland,Outer Metropolitan
Fairfax,Queensland,Rural
Farrer,New South Wales,Rural
Fenner,Australian Capital Territory,Inner Metropolitan
Fisher,Queensland,Rural
Flinders,Victoria,Rural
Flynn,Queensland,Rural
Forde,Queensland,Outer Metropolitan
Forrest,Western Australia,Rural
Fowler,New South Wales,Outer Metropolitan
Franklin,Tasmania,Outer Metropolitan
Fraser,Australian Capital Territory,Inner Metropolitan
Fremantle,Western Australia,Inner Metropolitan
Gellibrand,Victoria,Inner Metropolitan
Gilmore,New South Wales,Rural
Gippsland,Victoria,Rural
Goldstein,Victoria,Inner Metropolitan
Gorton,Victoria,Outer Metropolitan
Grayndler,New South Wales,Inner Metropolitan
Greenway,New South Wales,Outer Metropolitan
Grey,South Australia,Rural
Griffith,Queensland,Inner Metropolitan
Groom,Queensland,Provincial
Gwydir,New South Wales,Rural
Hasluck,Western Australia,Outer Metropolitan
Hawke,Victoria,Provincial
Herbert,Queensland,Provincial
Higgins,Victoria,Inner Metropolitan
Hindmarsh,South Australia,Inner Metropolitan
Hinkler,Queensland,Provincial
Holt,Victoria,Outer Metropolitan
Hotham,Victoria,Inner Metropolitan
Hughes,New South Wales,Outer Metropolitan
Hume,New South Wales,Outer Metropolitan
Hunter,New South Wales,Rural
Indi,Victoria,Rural
Isaacs,Victoria,Outer Metropolitan
Jagajaga,Victoria,Outer Metropolitan
Kalgoorlie,Western Australia,Rural
