unique_id,name_id,electorate,member_from,member_to,member_end_reason
Abbott1869,JLM,New England,1913-05-31,1919-11-03,Retired
Abbott1886,JLJ,Gwydir,1925-11-14,1929-10-12,Defeated
Abbott1886,JLJ,Gwydir,1931-12-19,1937-03-28,Resigned
Abbott1891,JLL,New England,1940-09-21,1949-10-31,Retired
Abbott1957,EZ5,Warringah,1994-03-26,2019-05-18,Defeated
Abel1939,JLN,Evans,1975-12-13,1977-11-10,Retired
Adams1951,BV5,Lyons,1993-03-13,2013-09-07,Defeated
Adermann1896,JLR,Fisher,1949-12-10,1972-11-02,Retired
Adermann1896,JLR,Maranoa,1943-08-21,1949-12-10,Until Elected For Fisher
Adermann1927,ID4,Fairfax,1984-12-01,1990-02-19,Retired
Adermann1927,ID4,Fisher,1972-12-02,1984-12-01,Until Elected For Fairfax
Ahern1871,JLS,Indi,1913-05-31,1914-09-05,Defeated
Albanese1963,R36,Grayndler,1996-03-02,,
Aldred1945,KD4,Bruce,1983-05-28,1990-03-24,Until Elected For Deakin
Aldred1945,KD4,Deakin,1990-03-24,1996-01-29,Retired
Aldred1945,KD4,Henty,1975-12-13,1980-10-18,Defeated
Alexander1951,M3M,Bennelong,2010-08-21,2017-11-11,Resigned
Alexander1951,M3M,Bennelong,2018-12-16,,
Allan1916,JLT,Gwydir,1953-12-19,1969-04-30,Resigned
Allen1966,282986,Higgins,2019-05-18,,
Aly1967,13050,Cowan,2016-07-02,,
Anderson1956,4K4,Gwydir,1989-04-15,2007-10-17,Retired
AndersonCharles1897,JLU,Hume,1949-12-10,1951-04-28,Defeated
AndersonCharles1897,JLU,Hume,1955-12-10,1961-12-09,Defeated
AndersonGordon1897,JLV,Kingsford-Smith,1949-12-10,1955-11-04,Retired
Andren1946,KL6,Calare,1996-03-02,2007-10-17,Retired
Andrew1944,HE4,Wakefield,1983-03-05,2004-08-31,Retired
Andrews1900,JLW,Darebin,1949-12-10,1955-12-10,Defeated
Andrews1955,HK5,Menzies,1991-05-11,,
Andrews1960,230886,McPherson,2010-08-21,,
Anstey1865,JLY,Bourke,1910-04-13,1934-08-07,Retired
Anthony1897,JLZ,Richmond,1937-10-23,1957-07-12,Died
Anthony1929,BU4,Richmond,1957-09-14,1984-01-18,Resigned
Anthony1961,XJ6,Richmond,1996-03-02,2004-10-09,Defeated
Archer1871,JM2,Capricornia,1906-12-12,1910-04-13,Defeated
Archer1975,282237,Bass,2019-05-18,,
Archibald1852,JM8,Hindmarsh,1910-04-13,1919-12-13,Defeated
Armitage1920,JM9,Chifley,1969-10-25,1983-02-04,Retired
Armitage1920,JM9,Mitchell,1961-12-09,1963-11-30,Defeated
Armstrong1909,JMA,Riverina,1965-02-27,1969-10-25,Defeated
Arthur1875,JMB,Bendigo,1913-05-31,1914-12-09,Died
Arthur1918,JMC,Barton,1966-11-26,1969-10-25,Defeated
AshleyBrown1915,JME,Mitchell,1972-12-02,1974-05-18,Defeated
Aston1916,JMF,Phillip,1955-12-10,1961-12-09,Defeated
Aston1916,JMF,Phillip,1963-11-30,1972-12-02,Defeated
Atkinson1867,JMG,Wilmot,1906-12-12,1929-10-12,Defeated
Atkinson1948,JMI,Isaacs,1990-03-24,1996-03-02,Defeated
Badman1885,JNM,Grey,1937-10-23,1943-08-21,Defeated
Bailey1946,JT4,McEwen,1990-03-24,1993-03-13,Defeated
Bailey1946,JT4,McEwen,1996-03-02,2010-07-19,Retired
Baillieu1937,JNO,La Trobe,1975-12-13,1980-10-18,Defeated
Baird1942,MP6,Cook,1998-10-03,2007-10-17,Retired
Baker1873,JNR,Maranoa,1940-09-21,1943-08-21,Defeated
Baker1903,JNP,Griffith,1934-09-15,1939-03-28,Died
Baker1903,JNP,Oxley,1931-12-19,1934-09-15,Until Elected For Griffith
Baker1958,DYK,Braddon,2004-10-09,2007-11-24,Defeated
Baldwin1951,MD4,Sydney,1983-03-05,1998-08-31,Retired
Baldwin1955,LL6,Paterson,1996-03-02,1998-10-03,Defeated
Baldwin1955,LL6,Paterson,2001-11-10,2016-05-09,Retired
Bamford1849,JNV,Herbert,1901-03-30,1925-10-03,Retired
Bandidt1906,JNZ,Wide Bay,1958-11-22,1961-12-09,Defeated
Bandt1972,M3C,Melbourne,2010-08-21,,
Banks1962,18661,Chisholm,2016-07-02,2019-05-18,
Barnard1890,JNX,Bass,1934-09-15,1949-12-10,Defeated
Barnard1919,JO8,Bass,1954-05-29,1975-06-02,Resigned
Barnes1901,JOA,McPherson,1958-11-22,1972-11-02,Retired
Barresi1955,ZJ6,Deakin,1996-03-02,2007-11-24,Defeated
Bartlett1949,0K6,Macquarie,1996-03-02,2007-11-24,Defeated
Barton1849,009LR,Hunter,1901-03-29,1903-09-30,Resigned
Barwick1903,126,Parramatta,1958-03-08,1964-04-24,Resigned
Batchelor1865,JOC,Boothby,1903-12-16,1911-10-08,Died
Batchelor1865,JOC,South Australia,1901-03-30,1903-12-16,Until Elected For Boothby
Bate1906,JOE,Macarthur,1949-12-10,1972-12-02,Defeated
Baume1930,LE4,Macarthur,1975-12-13,1983-03-05,Defeated
Bayley1882,JOG,Oxley,1917-05-05,1931-12-19,Defeated
Beale1898,JOI,Parramatta,1946-09-28,1958-02-10,Resigned
Beale1934,OE4,Bruce,1990-03-24,1996-03-02,Defeated
Beale1934,OE4,Deakin,1984-12-01,1990-03-24,Until Elected For Bruce
Beard1866,JOK,Batman,1910-04-13,1910-12-18,Died
