unique_id,name_id,surname,first_name,common_name,display_name,gender,title,electorate,birth_date,death_date,form1,form2,form3,form4,form5,source
Abbott1869,JLM,Abbott,Percy,,"Abbott, Percy",male,,New England,1869-05-14,1940-09-09,Mr Percy Abbott,Mr Abbott,MR PERCY ABBOTT,MR ABBOTT,Abbott,AustralianPoliticians
Abbott1886,JLJ,Abbott,Charles,Aubrey,"Abbott, Aubrey",male,,Gwydir,1886-01-04,1975-04-30,Mr Aubrey Abbott,Mr Abbott,MR AUBREY ABBOTT,MR ABBOTT,Abbott,AustralianPoliticians
Abbott1891,JLL,Abbott,Joseph,,"Abbott, Joseph",male,,New England,1891-10-18,1965-05-07,Mr Joseph Abbott,Mr Abbott,MR JOSEPH ABBOTT,MR ABBOTT,Abbott,AustralianPoliticians
Abbott1957,EZ5,Abbott,Anthony,Tony,"Abbott, Tony",male,,Warringah,1957-11-04,,Mr Tony Abbott,Mr Abbott,MR TONY ABBOTT,MR ABBOTT,Abbott,AustralianPoliticians
Abel1939,JLN,Abel,John,,"Abel, John",male,,Evans,1939-06-25,,Mr John Abel,Mr Abel,MR JOHN ABEL,MR ABEL,Abel,AustralianPoliticians
Adams1951,BV5,Adams,Dick,,"Adams, Dick",male,,Lyons,1951-04-29,,Mr Dick Adams,Mr Adams,MR DICK ADAMS,MR ADAMS,Adams,AustralianPoliticians
Adermann1896,JLR,Adermann,Charles,,"Adermann, Charles",male,,Fisher,1896-08-03,1979-05-09,Mr Charles Adermann,Mr Adermann,MR CHARLES ADERMANN,MR ADERMANN,Adermann,AustralianPoliticians
Adermann1927,ID4,Adermann,Albert,Evan,"Adermann, Evan",male,,Fairfax,1927-03-10,2001-11-03,Mr Evan Adermann,Mr Adermann,MR EVAN ADERMANN,MR ADERMANN,Adermann,AustralianPoliticians
Ahern1871,JLS,Ahern,Cornelius,,"Ahern, Cornelius",male,,Indi,1871-07-10,1955-07-10,Mr Cornelius Ahern,Mr Ahern,MR CORNELIUS AHERN,MR AHERN,Ahern,AustralianPoliticians
Albanese1963,R36,Albanese,Anthony,,"Albanese, Anthony",male,,Grayndler,1963-03-02,,Mr Anthony Albanese,Mr Albanese,MR ANTHONY ALBANESE,MR ALBANESE,Albanese,AustralianPoliticians
Aldred1945,KD4,Aldred,Kenneth,Ken,"Aldred, Ken",male,,Deakin,1945-08-01,2016-04-17,Mr Ken Aldred,Mr Aldred,MR KEN ALDRED,MR ALDRED,Aldred,AustralianPoliticians
Alexander1951,M3M,Alexander,John,,"Alexander, John",male,,Bennelong,1951-07-04,,Mr John Alexander,Mr Alexander,MR JOHN ALEXANDER,MR ALEXANDER,Alexander,AustralianPoliticians
Allan1916,JLT,Allan,Archibald,Ian,"Allan, Ian",male,,Gwydir,1916-01-03,2000-02-13,Mr Ian Allan,Mr Allan,MR IAN ALLAN,MR ALLAN,Allan,AustralianPoliticians
Allen1966,282986,Allen,Katrina,Katie,"Allen, Katie",female,Dr,Higgins,1966-02-24,,Dr Katie Allen,Dr Allen,DR KATIE ALLEN,DR ALLEN,Allen,AustralianPoliticians
Aly1967,13050,Aly,Anne,,"Aly, Anne",female,Dr,Cowan,1967-03-29,,Dr Anne Aly,Dr Aly,DR ANNE ALY,DR ALY,Aly,AustralianPoliticians
Anderson1956,4K4,Anderson,John,,"Anderson, John",male,,Gwydir,1956-11-14,,Mr John Anderson,Mr Anderson,MR JOHN ANDERSON,MR ANDERSON,Anderson,AustralianPoliticians
AndersonCharles1897,JLU,Anderson,Charles,,"Anderson, Charles",male,,Hume,1897-02-12,1988-11-11,Mr Charles Anderson,Mr Anderson,MR CHARLES ANDERSON,MR ANDERSON,Anderson,AustralianPoliticians
AndersonGordon1897,JLV,Anderson,Gordon,,"Anderson, Gordon",male,,Kingsford-Smith,1897-12-29,1958-05-23,Mr Gordon Anderson,Mr Anderson,MR GORDON ANDERSON,MR ANDERSON,Anderson,AustralianPoliticians
Andren1946,KL6,Andren,Peter,,"Andren, Peter",male,,Calare,1946-08-28,2007-11-03,Mr Peter Andren,Mr Andren,MR PETER ANDREN,MR ANDREN,Andren,AustralianPoliticians
Andrew1944,HE4,Andrew,John,Neil,"Andrew, Neil",male,,Wakefield,1944-06-07,,Mr Neil Andrew,Mr Andrew,MR NEIL ANDREW,MR ANDREW,Andrew,AustralianPoliticians
Andrews1900,JLW,Andrews,Thomas,Tom,"Andrews, Tom",male,,Darebin,1900-10-19,1974-11-21,Mr Tom Andrews,Mr Andrews,MR TOM ANDREWS,MR ANDREWS,Andrews,AustralianPoliticians
Andrews1955,HK5,Andrews,Kevin,,"Andrews, Kevin",male,,Menzies,1955-11-09,,Mr Kevin Andrews,Mr Andrews,MR KEVIN ANDREWS,MR ANDREWS,Andrews,AustralianPoliticians
Andrews1960,230886,Andrews,Karen,,"Andrews, Karen",female,,McPherson,1960-08-23,,Ms Karen Andrews,Ms Andrews,MS KAREN ANDREWS,MS ANDREWS,Andrews,AustralianPoliticians
Anstey1865,JLY,Anstey,Frank,,"Anstey, Frank",male,,Bourke,1865-08-18,1940-10-31,Mr Frank Anstey,Mr Anstey,MR FRANK ANSTEY,MR ANSTEY,Anstey,AustralianPoliticians
Anthony1897,JLZ,Anthony,Hubert,Larry (Hubert),"Anthony, Larry (Hubert)",male,,Richmond,1897-03-12,1957-07-12,Mr Larry (Hubert) Anthony,Mr Anthony,MR LARRY (HUBERT) ANTHONY,MR ANTHONY,Anthony,AustralianPoliticians
Anthony1929,BU4,Anthony,John,Doug,"Anthony, Doug",male,,Richmond,1929-12-31,2020-12-20,Mr Doug Anthony,Mr Anthony,MR DOUG ANTHONY,MR ANTHONY,Anthony,AustralianPoliticians
Anthony1961,XJ6,Anthony,Lawrence,Larry (Lawrence),"Anthony, Larry (Lawrence)",male,,Richmond,1961-12-17,,Mr Larry (Lawrence) Anthony,Mr Anthony,MR LARRY (LAWRENCE) ANTHONY,MR ANTHONY,Anthony,AustralianPoliticians
Archer1871,JM2,Archer,Edward,,"Archer, Edward",male,,Capricornia,1871-12-12,1940-07-01,Mr Edward Archer,Mr Archer,MR EDWARD ARCHER,MR ARCHER,Archer,AustralianPoliticians
Archer1975,282237,Archer,Bridget,,"Archer, Bridget",female,,Bass,1975-05-18,,Ms Bridget Archer,Ms Archer,MS BRIDGET ARCHER,MS ARCHER,Archer,AustralianPoliticians
Archibald1852,JM8,Archibald,William,,"Archibald, William",male,,Hindmarsh,1852-06-03,1926-06-28,Mr William Archibald,Mr Archibald,MR WILLIAM ARCHIBALD,MR ARCHIBALD,Archibald,AustralianPoliticians
Armitage1920,JM9,Armitage,John,,"Armitage, John",male,,Chifley,1920-11-11,2009-04-13,Mr John Armitage,Mr Armitage,MR JOHN ARMITAGE,MR ARMITAGE,Armitage,AustralianPoliticians
Armstrong1909,JMA,Armstrong,Adam,Bill,"Armstrong, Bill",male,,Riverina,1909-07-01,1982-02-22,Mr Bill Armstrong,Mr Armstrong,MR BILL ARMSTRONG,MR ARMSTRONG,Armstrong,AustralianPoliticians
Arthur1875,JMB,Arthur,John,,"Arthur, John",male,,Bendigo,1875-08-15,1914-12-09,Mr John Arthur,Mr Arthur,MR JOHN ARTHUR,MR ARTHUR,Arthur,AustralianPoliticians
Arthur1918,JMC,Arthur,William,Bill,"Arthur, Bill",male,,Barton,1918-04-16,1982-02-28,Mr Bill Arthur,Mr Arthur,MR BILL ARTHUR,MR ARTHUR,Arthur,AustralianPoliticians
AshleyBrown1915,JME,Ashley-Brown,Alfred,,"Ashley-Brown, Alfred",male,,Mitchell,1915-10-05,1993-02-05,Mr Alfred Ashley-Brown,Mr Ashley-Brown,MR ALFRED ASHLEY-BROWN,MR ASHLEY-BROWN,Ashley-Brown,AustralianPoliticians
Aston1916,JMF,Aston,William,,"Aston, William",male,,Phillip,1916-09-19,1997-05-21,Mr William Aston,Mr Aston,MR WILLIAM ASTON,MR ASTON,Aston,AustralianPoliticians
Atkinson1867,JMG,Atkinson,Llewellyn,,"Atkinson, Llewellyn",male,,Wilmot,1867-12-18,1945-11-01,Mr Llewellyn Atkinson,Mr Atkinson,MR LLEWELLYN ATKINSON,MR ATKINSON,Atkinson,AustralianPoliticians
Atkinson1948,JMI,Atkinson,Rodney,Rod,"Atkinson, Rod",male,,Isaacs,1948-08-07,,Mr Rod Atkinson,Mr Atkinson,MR ROD ATKINSON,MR ATKINSON,Atkinson,AustralianPoliticians
Badman1885,JNM,Badman,Albert,,"Badman, Albert",male,,Grey,1885-12-18,1977-04-24,Mr Albert Badman,Mr Badman,MR ALBERT BADMAN,MR BADMAN,Badman,AustralianPoliticians
Bailey1946,JT4,Bailey,Frances,Fran,"Bailey, Fran",female,,McEwen,1946-05-21,,Ms Fran Bailey,Ms Bailey,MS FRAN BAILEY,MS BAILEY,Bailey,AustralianPoliticians
Baillieu1937,JNO,Baillieu,Marshall,,"Baillieu, Marshall",male,,La Trobe,1937-06-06,,Mr Marshall Baillieu,Mr Baillieu,MR MARSHALL BAILLIEU,MR BAILLIEU,Baillieu,AustralianPoliticians
Baird1942,MP6,Baird,Bruce,,"Baird, Bruce",male,,Cook,1942-02-28,,Mr Bruce Baird,Mr Baird,MR BRUCE BAIRD,MR BAIRD,Baird,AustralianPoliticians
Baker1873,JNR,Baker,Francis,Francis Patrick,"Baker, Francis Patrick",male,,Maranoa,1873-05-30,1959-06-02,Mr Francis Patrick Baker,Mr Baker,MR FRANCIS PATRICK BAKER,MR BAKER,Baker,AustralianPoliticians
Baker1903,JNP,Baker,Francis,Francis Matthew,"Baker, Francis Matthew",male,,Griffith,,1939-03-28,Mr Francis Matthew Baker,Mr Baker,MR FRANCIS MATTHEW BAKER,MR BAKER,Baker,AustralianPoliticians
Baker1958,DYK,Baker,Mark,,"Baker, Mark",male,,Braddon,1958-12-31,,Mr Mark Baker,Mr Baker,MR MARK BAKER,MR BAKER,Baker,AustralianPoliticians
Baldwin1951,MD4,Baldwin,Peter,,"Baldwin, Peter",male,,Sydney,1951-04-12,,Mr Peter Baldwin,Mr Baldwin,MR PETER BALDWIN,MR BALDWIN,Baldwin,AustralianPoliticians
Baldwin1955,LL6,Baldwin,Robert,Bob,"Baldwin, Bob",male,,Paterson,1955-03-09,,Mr Bob Baldwin,Mr Baldwin,MR BOB BALDWIN,MR BALDWIN,Baldwin,AustralianPoliticians
Bamford1849,JNV,Bamford,Frederick,,"Bamford, Frederick",male,,Herbert,1849-02-11,1934-09-10,Mr Frederick Bamford,Mr Bamford,MR FREDERICK BAMFORD,MR BAMFORD,Bamford,AustralianPoliticians
Bandidt1906,JNZ,Bandidt,Henry,,"Bandidt, Henry",male,,Wide Bay,1906-10-12,1990-01-06,Mr Henry Bandidt,Mr Bandidt,MR HENRY BANDIDT,MR BANDIDT,Bandidt,AustralianPoliticians
