unique_id,name_id,party_abbrev,party_name,party_from,party_to,party_changed_name,party_simplified_name
Abbott1859,JYU,CP,Australian Country Party,,,,Nationals
Abbott1869,JLM,CP,Australian Country Party,1919-11-03,,,Nationals
Abbott1869,JLM,LIB,Liberal Party of Australia,,1917-02-17,,Liberals
Abbott1869,JLM,NAT,Nationalist Party,1917-02-17,1919-11-03,,Nationalist Party
Abbott1877,JNT,CP,Australian Country Party,,,,Nationals
Abetz1958,N26,LIB,Liberal Party of Australia,,,,Liberals
Adams1943,E4Q,LIB,Liberal Party of Australia,,,,Liberals
Adamson1857,JZ2,NAT,Nationalist Party,,,,Nationalist Party
Allison1946,1M6,AD,Australian Democrats,,,,Australian Democrats
Alston1941,LD4,LIB,Liberal Party of Australia,,,,Liberals
Amour1900,JZH,ALP,Australian Labor Party,,1940-01-01,,Labor
Amour1900,JZH,ALP,Australian Labor Party,1941-02-01,,,Labor
Amour1900,JZH,ALP (N-C),Australian Labor Party (Non-Communist),1940-01-01,1941-02-01,,Australian Labor Party (Non-Communist)
Anderson1909,JZQ,LIB,Liberal Party of Australia,,,,Liberals
Andrew1866,JZW,CP,Australian Country Party,,,,Nationals
Anning1949,273829,IND,Independent,2018-10-01,,,Independent
Anning1949,273829,KAP,Katters Australian Party,2018-06-04,2018-10-01,,Katters Australian Party
Anning1949,273829,PHON,Pauline Hansons One Nation,,2018-06-04,,Pauline Hansons One Nation
Antic1974,269375,LIB,Liberal Party of Australia,,,,Liberals
Arbib1971,HES,ALP,Australian Labor Party,,,,Labor
Archer1929,IE4,LIB,Liberal Party of Australia,,,,Liberals
Arkins1888,K08,UAP,United Australia Party,,,,United Australia Party
Armstrong1908,K0C,ALP,Australian Labor Party,,1940-01-01,,Labor
Armstrong1908,K0C,ALP,Australian Labor Party,1941-05-01,,,Australian Labor Party
Armstrong1908,K0C,ALP (N-C),Australian Labor Party (Non-Communist),1940-01-01,1941-05-01,,Australian Labor Party (Non-Communist)
Arnold1902,K0N,ALP,Australian Labor Party,,,,Labor
Arthur1883,K0P,ALP,Australian Labor Party,,,,Labor
Ashley1881,K0W,ALP,Australian Labor Party,,,,Labor
Askew1963,281558,LIB,Liberal Party of Australia,,,,Liberals
Aulich1945,JE4,ALP,Australian Labor Party,,,,Labor
Aylett1900,K0Z,ALP,Australian Labor Party,,,,Labor
Ayres,16913,ALP,Australian Labor Party,,,,Labor
Back1950,J7Q,LIB,Liberal Party of Australia,,,,Liberals
Badman1885,JNM,CP,Australian Country Party,1940-01-01,,,Nationals
Badman1885,JNM,CP,Australian Country Party,,,,Nationals
Badman1885,JNM,UAP,United Australia Party,,1940-01-01,,United Australia Party
Baker1841,L2E,FT,Free Trade,,,,Free Trade
Bakhap1866,K18,LIB,Liberal Party of Australia,,,,Liberals
Barker1846,K1I,ALP,Australian Labor Party,,,,Labor
Barnes1868,K1L,ALP,Australian Labor Party,,,,Labor
Barnett1962,00AUF,LIB,Liberal Party of Australia,,,,Liberals
Barrett1858,K1O,ALP,Australian Labor Party,,,,Labor
Bartlett1964,DT6,AD,Australian Democrats,,,,Australian Democrats
Barwell1877,K1P,NAT,Nationalist Party,,,,Nationalist Party
Baume1930,LE4,LIB,Liberal Party of Australia,,,,Liberals
Baume1935,ME4,LIB,Liberal Party of Australia,,,,Liberals
Beahan1937,NE4,ALP,Australian Labor Party,,,,Labor
Beerworth1886,K1Q,ALP,Australian Labor Party,,,,Labor
Bell1950,7U4,AD,Australian Democrats,,,,Australian Democrats
Benn1897,K1T,ALP,Australian Labor Party,,,,Labor
Benny1869,K1W,NAT,Nationalist Party,,,,Nationalist Party
Bernardi1969,G0D,LIB,Liberal Party of Australia,,,,Liberals
Bernardi1969,G0D,IND,Independent,,,,Independent Labor
Bernardi1969,G0D,ACP,Australian Conservative Party,,,,Conservative
Bessell1923,K1X,LIB,Liberal Party of Australia,,,,Liberals
Best1856,JPC,LIB,Liberal Party of Australia,1909-05-01,1917-02-17,,Liberal Party of Australia
Best1856,JPC,NAT,Nationalist Party,1917-02-17,,,Nationalist Party
Best1856,JPC,PROT,Protectionist Party,,1909-05-01,,Protectionist Party
Bilyk1959,HZB,ALP,Australian Labor Party,,,,Labor
Birmingham1974,H6X,LIB,Liberal Party of Australia,,,,Liberals
Bishop1913,K1Y,ALP,Australian Labor Party,,,,Labor
Bishop1942,SE4,LIB,Liberal Party of Australia,,,,Liberals
Bishop1954,2L6,ALP,Australian Labor Party,,,,Labor
BjelkePetersen1920,ND4,NCP,National Country Party,,1982-10-17,1.0,Nationals
BjelkePetersen1920,ND4,NPA,National Party of Australia,1982-10-17,,,Nationals
Black1952,TE4,ALP,Australian Labor Party,,,,Labor
Blakey1879,K22,ALP,Australian Labor Party,,,,Labor
Bolkus1950,XE4,ALP,Australian Labor Party,,,,Labor
Bolton1860,K2C,NAT,Nationalist Party,,,,Nationalist Party
Bonner1922,0V4,IND,Independent,1983-02-01,,,Independent
Bonner1922,0V4,LIB,Liberal Party of Australia,,1983-02-01,,Liberals
Boswell1940,YE4,NP,The Nationals,2003-10-01,,,Nationals
Boswell1940,YE4,NPA,National Party of Australia,,2003-10-01,,Nationals
Bourne1954,TW4,AD,Australian Democrats,,,,Australian Democrats
Boyce1951,H6V,LIB,Liberal Party of Australia,,,,Liberals
Bragg1984,256063,LIB,Liberal Party of Australia,,,,Liberals
Brand1873,K2F,LIB,Liberal Party of Australia,1945-08-31,,,Liberal Party of Australia
Brand1873,K2F,UAP,United Australia Party,,1945-08-31,,United Australia Party
Brandis1957,008W7,LIB,Liberal Party of Australia,,,,Liberals
Branson1918,K2I,LIB,Liberal Party of Australia,,,,Liberals
Breen1902,K2W,LIB,Liberal Party of Australia,,,,Liberals
Brennan1866,K2Z,UAP,United Australia Party,,,,United Australia Party
Brockman1970,30484,LIB,Liberal Party of Australia,,,,Liberals
Brown1885,K6P,ALP,Australian Labor Party,,,,Labor
Brown1885,K6P,FLP,Federal Labor Party,,1937-01-01,,Labor
Brown1920,K3A,ALP,Australian Labor Party,,,,Labor
Brown1944,QD4,GRN,Australian Greens,,,,Australian Greens
Brown1963,F49,ALP,Australian Labor Party,,,,Labor
Brownhill1935,RD4,NPA,National Party of Australia,,,,Nationals
Buckland1947,009D2,ALP,Australian Labor Party,,,,Labor
Bull1905,K3J,CP,Australian Country Party,,,,Nationals
Bullock1955,243237,ALP,Australian Labor Party,,,,Labor
Bunton1902,K3N,IND,Independent,,,,Independent
Burns1929,2F4,ALP,Australian Labor Party,,,,Labor
Burston1948,207807,PHON,Pauline Hansons One Nation,,,,Pauline Hansons One Nation
Bushby1965,HLL,LIB,Liberal Party of Australia,,,,Liberals
Buttfield1912,K3O,LIB,Liberal Party of Australia,,,,Liberals
Button1932,4F4,ALP,Australian Labor Party,,,,Labor
Buzacott1867,K3Q,ALP,Australian Labor Party,,1917-02-17,,Labor
Buzacott1867,K3Q,NAT,Nationalist Party,1917-02-17,,,Nationalist Party
Byrne1910,K3R,ALP,Australian Labor Party,,1957-01-01,,Labor
Byrne1910,K3R,DLP,Democratic Labor Party,1968-01-01,,,Democratic Labor Party
Byrne1910,K3R,QLP,Queensland Labor Party,1957-01-01,1968-01-01,,Queensland Labor Party
Calvert1940,5F4,LIB,Liberal Party of Australia,,,,Liberals
Cameron1857,K3S,PROT,Protectionist Party,,,,Protectionist Party
Cameron1878,L8E,ALP,Australian Labor Party,,,,Labor
Cameron1914,K3T,ALP,Australian Labor Party,,,,Labor
Cameron1935,K3V,LIB,Liberal Party of Australia,,,,Liberals
CameronDouglas1951,AI6,ALP,Australian Labor Party,,,,Labor
Campbell1943,NB5,ALP,Australian Labor Party,,,,Labor
Campbell1959,H15,LIB,Liberal Party of Australia,,,,Liberals
Canavan1980,245212,NP,The Nationals,,,,The Nationals
Cant1907,K3W,ALP,Australian Labor Party,,,,Labor
Carr1947,WX4,ALP,Australian Labor Party,,,,Labor
Carr1955,AW5,ALP,Australian Labor Party,,,,Labor
Carrick1918,2U4,LIB,Liberal Party of Australia,,,,Liberals
Carroll1872,K3X,CP,Australian Country Party,,,,Nationals
Cash1970,I0M,LIB,Liberal Party of Australia,,,,Liberals
Cavanagh1913,K6F,ALP,Australian Labor Party,,,,Labor
Chamarette1948,SN5,GWA,The Greens (WA) Inc,,,,The Greens (WA) Inc
Chamberlain1884,K6H,LIB,Liberal Party of Australia,,,,Liberals
Chandler1990,264449,LIB,Liberal Party of Australia,,,,Liberals
Chaney1941,EF4,LIB,Liberal Party of Australia,,,,Liberals
Chapman1879,K6I,CP,Australian Country Party,,,,Nationals
Chapman1949,FF4,LIB,Liberal Party of Australia,,,,Liberals
Charleston1848,K6J,FT,Free Trade,,,,Free Trade
Chataway1864,K6L,ANTI-SOC,Anti-Socialist Party,,,,Anti-Socialist Party
Cherry1965,00A9C,AD,Australian Democrats,,,,Australian Democrats
Childs1934,IF4,ALP,Australian Labor Party,,,,Labor
Chipp1925,3V4,AD,Australian Democrats,1977-05-01,,,Australian Democrats
Chipp1925,3V4,IND,Independent,1977-03-01,1977-05-01,,Independent
Chipp1925,3V4,LIB,Liberal Party of Australia,,1977-03-01,,Liberals
Chisholm1978,39801,ALP,Australian Labor Party,,,,Labor
Ciccone1983,281503,ALP,Australian Labor Party,,,,Labor
Clemons1862,K6M,ANTI-SOC,Anti-Socialist Party,1910-01-01,1913-01-01,,Anti-Socialist Party
Clemons1862,K6M,FT,Free Trade,,1910-01-01,,Free Trade
Clemons1862,K6M,LIB,Liberal Party of Australia,,,,Liberals
Clothier1877,K6N,ALP,Australian Labor Party,,,,Labor
Coates1944,LF4,ALP,Australian Labor Party,,,,Labor
Cohen1918,K6R,ALP,Australian Labor Party,,,,Labor
Colbeck1958,00AOL,LIB,Liberal Party of Australia,,,,Liberals
Cole1908,K6W,ALP,Australian Labor Party,,1955-04-01,,Labor
Cole1908,K6W,ALP (A-C),Australian Labor Party (Anti-Communist),1955-04-01,1957-01-01,,Australian Labor Party (Anti-Communist)
Cole1908,K6W,DLP,Democratic Labor Party,1957-01-01,,,Democratic Labor Party
Colebatch1872,K7F,NAT,Nationalist Party,,,,Nationalist Party
Coleman1931,5V4,ALP,Australian Labor Party,,,,Labor
Collard1936,K7H,NCP,National Country Party,,1982-10-17,1.0,Nationals
Collard1936,K7H,NPA,National Party of Australia,1982-10-17,,,Nationals
Collett1877,K7M,NAT,Nationalist Party,,1937-01-01,,Nationalist Party
Collett1877,K7M,UAP,United Australia Party,1937-01-01,,,United Australia Party
Collings1865,K7P,ALP,Australian Labor Party,1937-01-01,,,Australian Labor Party
Collings1865,K7P,FLP,Federal Labor Party,,1937-01-01,,Federal Labor Party
Collins1946,OF4,ALP,Australian Labor Party,,,,Labor
Collins1962,GB6,ALP,Australian Labor Party,,,,Labor
Colston1938,PF4,ALP,Australian Labor Party,,1996-08-01,,Labor
Colston1938,PF4,IND,Independent,1996-08-01,,,Independent
Conroy1963,3L6,ALP,Australian Labor Party,,,,Labor
Cook1943,RF4,ALP,Australian Labor Party,,,,Labor
Cooke1904,JQN,ALP,Australian Labor Party,,,,Labor
Coonan1947,2M6,LIB,Liberal Party of Australia,,,,Liberals
Cooney1934,SF4,ALP,Australian Labor Party,,,,Labor
Cooper1888,JQP,CP,Australian Country Party,1935-07-01,,,Nationals
Cooper1888,JQP,NAT,Nationalist Party,,1932-06-30,,Nationalist Party
Cormack1906,JQQ,LIB,Liberal Party of Australia,,,,Liberals
Cormann1970,HDA,LIB,Liberal Party of Australia,,,,Liberals
Cotton1915,JQR,LIB,Liberal Party of Australia,,,,Liberals
Coulter1930,TF4,AD,Australian Democrats,,,,Australian Democrats
Courtenay1879,JQW,UAP,United Australia Party,,,,United Australia Party
