unique_id,name_id,party_abbrev,party_name,party_from,party_to,party_changed_name,party_simplified_name
Abbott1869,JLM,CP,Australian Country Party,1919-11-03,,,Nationals
Abbott1869,JLM,LIB,Liberal Party of Australia,,1917-02-17,,Liberals
Abbott1869,JLM,NAT,Nationalist Party,1917-02-17,1919-11-03,,Nationalist Party
Abbott1886,JLJ,CP,Australian Country Party,,,,Nationals
Abbott1891,JLL,CP,Australian Country Party,,,,Nationals
Abbott1957,EZ5,LIB,Liberal Party of Australia,,,,Liberals
Abel1939,JLN,LIB,Liberal Party of Australia,,,,Liberals
Adams1951,BV5,ALP,Australian Labor Party,,,,Labor
Adermann1896,JLR,CP,Australian Country Party,,,,Nationals
Adermann1927,ID4,CP,Australian Country Party,,1975-05-03,1.0,Nationals
Adermann1927,ID4,NCP,National Country Party,1975-05-03,1982-10-17,1.0,Nationals
Adermann1927,ID4,NPA,National Party of Australia,1982-10-17,,,Nationals
Ahern1871,JLS,LIB,Liberal Party of Australia,,,,Liberals
Albanese1963,R36,ALP,Australian Labor Party,,,,Labor
Aldred1945,KD4,LIB,Liberal Party of Australia,,,,Liberals
Alexander1951,M3M,LIB,Liberal Party of Australia,,,,Liberals
Allan1916,JLT,CP,Australian Country Party,,,,Nationals
Allen1966,282986,LIB,Liberal Party of Australia,,,,Liberals
Aly1967,13050,ALP,Australian Labor Party,,,,Labor
Anderson1956,4K4,NP,The Nationals,2003-10-01,,,Nationals
Anderson1956,4K4,NPA,National Party of Australia,,2003-10-01,,Nationals
AndersonCharles1897,JLU,CP,Australian Country Party,,,,Nationals
AndersonGordon1897,JLV,ALP,Australian Labor Party,,,,Labor
Andren1946,KL6,IND,Independent,,,,Independent
Andrew1944,HE4,LIB,Liberal Party of Australia,,,,Liberals
Andrews1900,JLW,ALP,Australian Labor Party,,1955-04-01,,Labor
Andrews1900,JLW,ALP (A-C),Australian Labor Party (Anti-Communist),1955-04-01,,,Australian Labor Party (Anti-Communist)
Andrews1955,HK5,LIB,Liberal Party of Australia,,,,Liberals
Andrews1960,230886,LIB,Liberal Party of Australia,,,,Liberals
Anstey1865,JLY,ALP,Australian Labor Party,,1931-01-01,,Labor
Anstey1865,JLY,FLP,Federal Labor Party,1931-01-01,,,Federal Labor Party
Anthony1897,JLZ,CP,Australian Country Party,,,,Nationals
Anthony1929,BU4,CP,Australian Country Party,,1975-05-03,1.0,Nationals
Anthony1929,BU4,NCP,National Country Party,1975-05-03,1982-10-17,1.0,Nationals
Anthony1929,BU4,NPA,National Party of Australia,1982-10-17,,,Nationals
Anthony1961,XJ6,NP,The Nationals,2003-10-01,,,Nationals
Anthony1961,XJ6,NPA,National Party of Australia,,2003-10-01,,Nationals
Archer1871,JM2,ANTI-SOC,Anti-Socialist Party,,,,Anti-Socialist Party
Archer1975,282237,LIB,Liberal Party of Australia,,,,Liberals
Archibald1852,JM8,ALP,Australian Labor Party,,1917-02-17,,Labor
Archibald1852,JM8,NAT,Nationalist Party,1917-02-17,,,Nationalist Party
Armitage1920,JM9,ALP,Australian Labor Party,,,,Labor
Armstrong1909,JMA,CP,Australian Country Party,,,,Nationals
Arthur1875,JMB,ALP,Australian Labor Party,,,,Labor
Arthur1918,JMC,LIB,Liberal Party of Australia,,,,Liberals
AshleyBrown1915,JME,ALP,Australian Labor Party,,,,Labor
Aston1916,JMF,LIB,Liberal Party of Australia,,,,Liberals
Atkinson1867,JMG,ANTI-SOC,Anti-Socialist Party,,1910-01-01,,Anti-Socialist Party
Atkinson1867,JMG,CP,Australian Country Party,1923-01-01,1925-01-01,,Nationals
Atkinson1867,JMG,LIB,Liberal Party of Australia,1910-01-01,1917-02-17,,Liberal Party of Australia
Atkinson1867,JMG,NAT,Nationalist Party,1917-02-17,1923-01-01,,Nationalist Party
Atkinson1867,JMG,NAT,Nationalist Party,1925-01-01,,,Nationalist Party
Atkinson1948,JMI,LIB,Liberal Party of Australia,,,,Liberals
Badman1885,JNM,CP,Australian Country Party,1940-01-01,,,Nationals
Badman1885,JNM,CP,Australian Country Party,,,,Nationals
Badman1885,JNM,UAP,United Australia Party,,1940-01-01,,United Australia Party
Bailey1946,JT4,LIB,Liberal Party of Australia,,,,Liberals
Baillieu1937,JNO,LIB,Liberal Party of Australia,,,,Liberals
Baird1942,MP6,LIB,Liberal Party of Australia,,,,Liberals
Baker1873,JNR,ALP,Australian Labor Party,,,,Labor
Baker1903,JNP,FLP,Federal Labor Party,,,,Federal Labor Party
Baker1958,DYK,LIB,Liberal Party of Australia,,,,Liberals
Baldwin1951,MD4,ALP,Australian Labor Party,,,,Labor
Baldwin1955,LL6,LIB,Liberal Party of Australia,,,,Liberals
Bamford1849,JNV,ALP,Australian Labor Party,,1917-02-17,,Labor
Bamford1849,JNV,NAT,Nationalist Party,1917-02-17,,,Nationalist Party
Bandidt1906,JNZ,CP,Australian Country Party,,,,Nationals
Bandt1972,M3C,GRN,Australian Greens,,,,Australian Greens
Banks1962,18661,IND,Independent,2018-11-27,,,Independent
Banks1962,18661,LIB,Liberal Party of Australia,,2018-11-27,,Liberals
Barnard1890,JNX,ALP,Australian Labor Party,1936-01-01,,,Labor
Barnard1890,JNX,FLP,Federal Labor Party,,1936-01-01,,Federal Labor Party
Barnard1919,JO8,ALP,Australian Labor Party,,,,Labor
Barnes1901,JOA,CP,Australian Country Party,,,,Nationals
Barresi1955,ZJ6,LIB,Liberal Party of Australia,,,,Liberals
Bartlett1949,0K6,LIB,Liberal Party of Australia,,,,Liberals
Barton1849,009LR,PROT,Protectionist Party,,,,Protectionist Party
Barwick1903,126,LIB,Liberal Party of Australia,,,,Liberals
Batchelor1865,JOC,ALP,Australian Labor Party,,,,Labor
Bate1906,JOE,IND,Independent,1972-10-01,,,Independent
Bate1906,JOE,LIB,Liberal Party of Australia,,1972-10-01,,Liberals
Baume1930,LE4,LIB,Liberal Party of Australia,,,,Liberals
Bayley1882,JOG,NAT,Nationalist Party,,,,Nationalist Party
Beale1898,JOI,LIB,Liberal Party of Australia,,,,Liberals
Beale1934,OE4,LIB,Liberal Party of Australia,,,,Liberals
Beard1866,JOK,ALP,Australian Labor Party,,,,Labor
Beasley1895,JOM,ALP,Australian Labor Party,,1931-01-01,,Labor
Beasley1895,JOM,ALP,Australian Labor Party,1936-01-01,1940-01-01,,Labor
Beasley1895,JOM,ALP,Australian Labor Party,1941-01-01,,,Labor
Beasley1895,JOM,ALP (N-C),Australian Labor Party (Non-Communist),1940-01-01,1941-02-01,,Australian Labor Party (Non-Communist)
Beasley1895,JOM,LANG LAB,Lang Labor Party,1931-01-01,1936-01-01,,Lang Labor Party
Beaton1925,JOO,ALP,Australian Labor Party,,,,Labor
Beazley1917,JF7,ALP,Australian Labor Party,,,,Labor
Beazley1948,PE4,ALP,Australian Labor Party,,,,Labor
Beck1882,JOQ,UAP,United Australia Party,,,,United Australia Party
Beddall1948,QE4,ALP,Australian Labor Party,,,,Labor
Bell1872,JOS,NAT,Nationalist Party,,1931-01-01,,Nationalist Party
Bell1872,JOS,UAP,United Australia Party,1931-01-01,,,United Australia Party
Bell1968,282981,LIB,Liberal Party of Australia,,,,Liberals
Bennett1872,JOW,ALP,Australian Labor Party,,,,Labor
Bennett1874,JOY,LIB,Liberal Party of Australia,,,,Liberals
Bennett1933,JOU,ALP,Australian Labor Party,,,,Labor
Benson1909,JP5,ALP,Australian Labor Party,,1966-08-01,,Labor
Benson1909,JP5,IND,Independent,1966-08-01,,,Independent
Berinson1932,JP8,ALP,Australian Labor Party,,,,Labor
Berry1907,JPA,LIB,Liberal Party of Australia,,,,Liberals
Best1856,JPC,LIB,Liberal Party of Australia,1909-05-01,1917-02-17,,Liberal Party of Australia
Best1856,JPC,NAT,Nationalist Party,1917-02-17,,,Nationalist Party
Best1856,JPC,PROT,Protectionist Party,,1909-05-01,,Protectionist Party
Bevis1955,ET4,ALP,Australian Labor Party,,,,Labor
Bidgood1959,HVM,ALP,Australian Labor Party,,,,Labor
Billson1966,1K6,LIB,Liberal Party of Australia,,,,Liberals
Bilney1939,RE4,ALP,Australian Labor Party,,,,Labor
Bird1906,JPE,ALP,Australian Labor Party,,,,Labor
Bird1962,DZP,ALP,Australian Labor Party,,,,Labor
Birney1928,JPG,LIB,Liberal Party of Australia,,,,Liberals
Birrell1913,JPJ,ALP,Australian Labor Party,,,,Labor
Bishop1942,SE4,LIB,Liberal Party of Australia,,,,Liberals
Bishop1956,83P,LIB,Liberal Party of Australia,,,,Liberals
Blackburn1880,JPN,ALP,Australian Labor Party,1937-01-01,1941-01-01,,Labor
Blackburn1880,JPN,FLP,Federal Labor Party,,1937-01-01,,Federal Labor Party
Blackburn1880,JPN,IND LAB,Independent Labor,1941-01-01,,,Independent Labor
Blackburn1889,JPL,IND LAB,Independent Labor,,,,Independent Labor
Blacklow1879,JPP,UAP,United Australia Party,,,,United Australia Party
