unique_id,name_id,surname,first_name,common_name,display_name,gender,state_abbrev,birth_date,death_date,form1,form2,form3,form4,form5,source
Abbott1859,JYU,Abbott,Richard,,"Abbott, Richard",male,VIC,,1940-02-28,Senator Richard Abbott,Senator Abbott,Senator RICHARD ABBOTT,Senator ABBOTT,Senator Richard ABBOTT,AustralianPoliticians
Abbott1869,JLM,Abbott,Percy,,"Abbott, Percy",male,NSW,1869-05-14,1940-09-09,Senator Percy Abbott,Senator Abbott,Senator PERCY ABBOTT,Senator ABBOTT,Senator Percy ABBOTT,AustralianPoliticians
Abbott1877,JNT,Abbott,Macartney,Mac,"Abbott, Mac",male,NSW,1877-07-03,1960-12-30,Senator Mac Abbott,Senator Abbott,Senator MAC ABBOTT,Senator ABBOTT,Senator Mac ABBOTT,AustralianPoliticians
Abetz1958,N26,Abetz,Eric,,"Abetz, Eric",male,TAS,1958-01-25,,Senator Eric Abetz,Senator Abetz,Senator ERIC ABETZ,Senator ABETZ,Senator Eric ABETZ,AustralianPoliticians
Adams1943,E4Q,Adams,Judith,,"Adams, Judith",female,WA,1943-04-11,2012-03-31,Senator Judith Adams,Senator Adams,Senator JUDITH ADAMS,Senator ADAMS,Senator Judith ADAMS,AustralianPoliticians
Adamson1857,JZ2,Adamson,John,,"Adamson, John",male,QLD,1857-02-18,1922-05-02,Senator John Adamson,Senator Adamson,Senator JOHN ADAMSON,Senator ADAMSON,Senator John ADAMSON,AustralianPoliticians
Allison1946,1M6,Allison,Lynette,Lyn,"Allison, Lyn",female,VIC,1946-10-21,,Senator Lyn Allison,Senator Allison,Senator LYN ALLISON,Senator ALLISON,Senator Lyn ALLISON,AustralianPoliticians
Alston1941,LD4,Alston,Richard,,"Alston, Richard",male,VIC,1941-12-19,,Senator Richard Alston,Senator Alston,Senator RICHARD ALSTON,Senator ALSTON,Senator Richard ALSTON,AustralianPoliticians
Amour1900,JZH,Amour,Stanley,Stan,"Amour, Stan",male,NSW,1900-04-02,1979-11-29,Senator Stan Amour,Senator Amour,Senator STAN AMOUR,Senator AMOUR,Senator Stan AMOUR,AustralianPoliticians
Anderson1909,JZQ,Anderson,Kenneth,Ken,"Anderson, Ken",male,NSW,1909-10-11,1985-03-29,Senator Ken Anderson,Senator Anderson,Senator KEN ANDERSON,Senator ANDERSON,Senator Ken ANDERSON,AustralianPoliticians
Andrew1866,JZW,Andrew,David,,"Andrew, David",male,VIC,1866-11-10,1928-11-18,Senator David Andrew,Senator Andrew,Senator DAVID ANDREW,Senator ANDREW,Senator David ANDREW,AustralianPoliticians
Anning1949,273829,Anning,William,Fraser,"Anning, Fraser",male,QLD,1949-10-14,,Senator Fraser Anning,Senator Anning,Senator FRASER ANNING,Senator ANNING,Senator Fraser ANNING,AustralianPoliticians
Antic1974,269375,Antic,Alexander,Alex,"Antic, Alex",male,SA,1974-12-17,,Senator Alex Antic,Senator Antic,Senator ALEX ANTIC,Senator ANTIC,Senator Alex ANTIC,AustralianPoliticians
Arbib1971,HES,Arbib,Mark,,"Arbib, Mark",male,NSW,1971-11-09,,Senator Mark Arbib,Senator Arbib,Senator MARK ARBIB,Senator ARBIB,Senator Mark ARBIB,AustralianPoliticians
Archer1929,IE4,Archer,Brian,,"Archer, Brian",male,TAS,1929-08-21,2013-03-10,Senator Brian Archer,Senator Archer,Senator BRIAN ARCHER,Senator ARCHER,Senator Brian ARCHER,AustralianPoliticians
Arkins1888,K08,Arkins,James,Guy,"Arkins, Guy",male,NSW,1888-10-14,1980-08-02,Senator Guy Arkins,Senator Arkins,Senator GUY ARKINS,Senator ARKINS,Senator Guy ARKINS,AustralianPoliticians
Armstrong1908,K0C,Armstrong,John,,"Armstrong, John",male,NSW,1908-07-10,1977-03-10,Senator John Armstrong,Senator Armstrong,Senator JOHN ARMSTRONG,Senator ARMSTRONG,Senator John ARMSTRONG,AustralianPoliticians
Arnold1902,K0N,Arnold,James,,"Arnold, James",male,NSW,1902-04-12,1967-10-29,Senator James Arnold,Senator Arnold,Senator JAMES ARNOLD,Senator ARNOLD,Senator James ARNOLD,AustralianPoliticians
Arthur1883,K0P,Arthur,Thomas,,"Arthur, Thomas",male,NSW,1883-05-11,1953-06-06,Senator Thomas Arthur,Senator Arthur,Senator THOMAS ARTHUR,Senator ARTHUR,Senator Thomas ARTHUR,AustralianPoliticians
Ashley1881,K0W,Ashley,William,Bill,"Ashley, Bill",male,NSW,1881-09-20,1958-06-27,Senator Bill Ashley,Senator Ashley,Senator BILL ASHLEY,Senator ASHLEY,Senator Bill ASHLEY,AustralianPoliticians
Askew1963,281558,Askew,Wendy,,"Askew, Wendy",female,TAS,1963-03-16,,Senator Wendy Askew,Senator Askew,Senator WENDY ASKEW,Senator ASKEW,Senator Wendy ASKEW,AustralianPoliticians
Aulich1945,JE4,Aulich,Terrence,Terry,"Aulich, Terry",male,TAS,1945-10-05,,Senator Terry Aulich,Senator Aulich,Senator TERRY AULICH,Senator AULICH,Senator Terry AULICH,AustralianPoliticians
Aylett1900,K0Z,Aylett,William,Bill,"Aylett, Bill",male,TAS,1900-11-15,1976-08-10,Senator Bill Aylett,Senator Aylett,Senator BILL AYLETT,Senator AYLETT,Senator Bill AYLETT,AustralianPoliticians
Ayres,16913,Ayres,Timothy,Tim,"Ayres, Tim",male,NSW,,,Senator Tim Ayres,Senator Ayres,Senator TIM AYRES,Senator AYRES,Senator Tim AYRES,AustralianPoliticians
