filename,schema_version,date,parliament_no,session_no,period_no,chamber,page_no,proof
1998-03-02,2.0,1998-03-02,38,1.0,6.0,SENATE,1.0,0.0
1998-03-02,2.0,1998-03-02,38,1,6,REPS,1,0.0
1998-03-03,2.0,1998-03-03,38,1.0,6.0,SENATE,159.0,0.0
1998-03-03,2.0,1998-03-03,38,1,6,REPS,159,0.0
1998-03-04,2.0,1998-03-04,38,1.0,6.0,SENATE,301.0,0.0
1998-03-04,2.0,1998-03-04,38,1,6,REPS,351,0.0
1998-03-05,2.0,1998-03-05,38,1.0,6.0,SENATE,441.0,0.0
1998-03-05,2.0,1998-03-05,38,1,6,REPS,527,0.0
1998-03-09,2.0,1998-03-09,38,1.0,6.0,SENATE,567.0,0.0
1998-03-09,2.0,1998-03-09,38,1,6,REPS,711,0.0
1998-03-10,2.0,1998-03-10,38,1.0,6.0,SENATE,673.0,0.0
1998-03-10,2.0,1998-03-10,38,1,6,REPS,827,0.0
1998-03-11,2.0,1998-03-11,38,1.0,6.0,SENATE,755.0,0.0
1998-03-11,2.0,1998-03-11,38,1,6,REPS,923,0.0
1998-03-12,2.0,1998-03-12,38,1.0,6.0,SENATE,889.0,0.0
1998-03-12,2.0,1998-03-12,38,1,6,REPS,1099,0.0
1998-03-23,2.0,1998-03-23,38,1.0,6.0,SENATE,1015.0,0.0
1998-03-23,2.0,1998-03-23,38,1,6,REPS,1255,0.0
1998-03-24,2.0,1998-03-24,38,1.0,6.0,SENATE,1137.0,0.0
1998-03-24,2.0,1998-03-24,38,1,6,REPS,1377,0.0
1998-03-25,2.0,1998-03-25,38,1.0,6.0,SENATE,1215.0,0.0
1998-03-25,2.0,1998-03-25,38,1,6,REPS,1477,0.0
1998-03-26,2.0,1998-03-26,38,1.0,6.0,SENATE,1347.0,0.0
1998-03-26,2.0,1998-03-26,38,1,6,REPS,1649,0.0
1998-03-30,2.0,1998-03-30,38,1.0,6.0,SENATE,1469.0,0.0
1998-03-30,2.0,1998-03-30,38,1,6,REPS,1817,0.0
1998-03-31,2.0,1998-03-31,38,1.0,6.0,SENATE,1585.0,0.0
1998-03-31,2.0,1998-03-31,38,1,6,REPS,1947,0.0
1998-04-01,2.0,1998-04-01,38,1.0,6.0,SENATE,1685.0,0.0
1998-04-01,2.0,1998-04-01,38,1,6,REPS,2059,0.0
1998-04-02,2.0,1998-04-02,38,1.0,6.0,SENATE,1819.0,0.0
1998-04-02,2.0,1998-04-02,38,1,6,REPS,2335,0.0
1998-04-03,2.0,1998-04-03,38,1.0,6.0,SENATE,1955.0,0.0
1998-04-06,2.0,1998-04-06,38,1.0,6.0,SENATE,2027.0,0.0
1998-04-06,2.0,1998-04-06,38,1,6,REPS,2493,0.0
1998-04-07,2.0,1998-04-07,38,1.0,6.0,SENATE,2139.0,0.0
1998-04-07,2.0,1998-04-07,38,1,6,REPS,2623,0.0
