filename,schema_version,date,parliament_no,session_no,period_no,chamber,page_no,proof
1998-03-02,2.0,1998-03-02,38,1,6,SENATE,1,0
1998-03-03,2.0,1998-03-03,38,1,6,SENATE,159,0
1998-03-04,2.0,1998-03-04,38,1,6,SENATE,301,0
1998-03-05,2.0,1998-03-05,38,1,6,SENATE,441,0
1998-03-09,2.0,1998-03-09,38,1,6,SENATE,567,0
1998-03-10,2.0,1998-03-10,38,1,6,SENATE,673,0
1998-03-11,2.0,1998-03-11,38,1,6,SENATE,755,0
1998-03-12,2.0,1998-03-12,38,1,6,SENATE,889,0
1998-03-23,2.0,1998-03-23,38,1,6,SENATE,1015,0
1998-03-24,2.0,1998-03-24,38,1,6,SENATE,1137,0
1998-03-25,2.0,1998-03-25,38,1,6,SENATE,1215,0
1998-03-26,2.0,1998-03-26,38,1,6,SENATE,1347,0
1998-03-30,2.0,1998-03-30,38,1,6,SENATE,1469,0
1998-03-31,2.0,1998-03-31,38,1,6,SENATE,1585,0
1998-04-01,2.0,1998-04-01,38,1,6,SENATE,1685,0
2023-02-06,2.2,2023-02-06,2,1,0,Senate,0,0
2023-02-07,2.2,2023-02-07,2,1,0,Senate,0,0
2023-02-08,2.2,2023-02-08,2,1,0,Senate,0,0
2023-02-09,2.2,2023-02-09,2,1,0,Senate,0,0
2023-03-06,2.2,2023-03-06,2,1,0,Senate,0,0
2023-03-07,2.2,2023-03-07,2,1,0,Senate,0,0
2023-03-08,2.2,2023-03-08,2,1,0,Senate,0,0
2023-03-09,2.2,2023-03-09,2,1,0,Senate,0,0
2023-03-20,2.2,2023-03-20,2,1,0,Senate,0,0
2023-03-21,2.2,2023-03-21,2,1,0,Senate,0,0
2023-03-22,2.2,2023-03-22,2,1,0,Senate,0,0
2023-03-23,2.2,2023-03-23,2,1,0,Senate,0,0
2023-03-24,2.2,2023-03-24,2,1,0,Senate,0,0
2023-03-27,2.2,2023-03-27,2,1,0,Senate,0,0
2023-03-28,2.2,2023-03-28,2,1,0,Senate,0,0
2023-03-29,2.2,2023-03-29,2,1,0,Senate,0,0
2023-03-30,2.2,2023-03-30,2,1,0,Senate,0,0
2023-05-09,2.2,2023-05-09,2,1,0,Senate,0,0
2023-05-10,2.2,2023-05-10,2,1,0,Senate,0,0
2023-05-11,2.2,2023-05-11,2,1,0,Senate,0,0
2023-06-13,2.2,2023-06-13,2,1,0,Senate,0,0
2023-06-14,2.2,2023-06-14,2,1,0,Senate,0,0
2023-06-15,2.2,2023-06-15,2,1,0,Senate,0,0
2023-06-16,2.2,2023-06-16,2,1,0,Senate,0,0
2023-06-19,2.2,2023-06-19,2,1,0,Senate,0,0
2023-06-20,2.2,2023-06-20,2,1,0,Senate,0,0
2023-06-21,2.2,2023-06-21,2,1,0,Senate,0,0
2023-06-22,2.2,2023-06-22,2,1,0,Senate,0,0
2023-07-31,2.2,2023-07-31,2,1,0,Senate,0,0
2023-08-01,2.2,2023-08-01,2,1,0,Senate,0,0
2023-08-02,2.2,2023-08-02,2,1,0,Senate,0,0
2023-08-03,2.2,2023-08-03,2,1,0,Senate,0,0
2023-08-07,2.2,2023-08-07,2,1,0,Senate,0,0
2023-08-08,2.2,2023-08-08,2,1,0,Senate,0,0
2023-08-09,2.2,2023-08-09,2,1,0,Senate,0,0
2023-08-10,2.2,2023-08-10,2,1,0,Senate,0,0
2023-09-04,2.2,2023-09-04,2,1,0,Senate,0,0
2023-09-05,2.2,2023-09-05,2,1,0,Senate,0,0
2023-09-06,2.2,2023-09-06,2,1,0,Senate,0,0
2023-09-07,2.2,2023-09-07,2,1,0,Senate,0,0
2023-09-11,2.2,2023-09-11,2,1,0,Senate,0,0
2023-09-12,2.2,2023-09-12,2,1,0,Senate,0,0
2023-09-13,2.2,2023-09-13,2,1,0,Senate,0,0
2023-09-14,2.2,2023-09-14,2,1,0,Senate,0,0
2023-10-16,2.2,2023-10-16,2,1,0,Senate,0,0
2023-10-17,2.2,2023-10-17,2,1,0,Senate,0,0
2023-10-18,2.2,2023-10-18,2,1,0,Senate,0,0
2023-10-19,2.2,2023-10-19,2,1,0,Senate,0,0
2023-11-06,2.2,2023-11-06,2,1,0,Senate,0,0
2023-11-07,2.2,2023-11-07,2,1,0,Senate,0,0
2023-11-08,2.2,2023-11-08,2,1,0,Senate,0,0
2023-11-09,2.2,2023-11-09,2,1,0,Senate,0,0
2023-11-10,2.2,2023-11-10,2,1,0,Senate,0,0
2023-11-13,2.2,2023-11-13,2,1,0,Senate,0,0
2023-11-14,2.2,2023-11-14,2,1,0,Senate,0,0
2023-11-15,2.2,2023-11-15,2,1,0,Senate,0,0
2023-11-16,2.2,2023-11-16,2,1,0,Senate,0,0
2023-11-17,2.2,2023-11-17,2,1,0,Senate,0,0
2023-11-27,2.2,2023-11-27,2,1,0,Senate,0,0
2023-11-28,2.2,2023-11-28,2,1,0,Senate,0,0
2023-11-29,2.2,2023-11-29,2,1,0,Senate,0,0
2023-11-30,2.2,2023-11-30,2,1,0,Senate,0,0
2023-12-04,2.2,2023-12-04,2,1,0,Senate,0,0
2023-12-05,2.2,2023-12-05,2,1,0,Senate,0,0
2023-12-06,2.2,2023-12-06,2,1,0,Senate,0,0
2023-12-07,2.2,2023-12-07,2,1,0,Senate,0,0
