unique_id,name_id,role,from_date,to_date,xml_name_pattern,state,party,display_name,full_name
HalversonRobert1945,5D5,SPEAKER,1996-03-18,1998-02-09,The SPEAKER,VIC,LP,Mr Halverson,Hon. Bob Halverson
Sinclair1929,ES4,SPEAKER,1998-02-10,1998-09-16,The SPEAKER,NSW,NP,Mr Sinclair,Hon. Ian Sinclair
Andrew1944,C04,SPEAKER,1998-11-10,2004-10-21,The SPEAKER,SA,LP,Mr Andrew,Hon. Neil Andrew
Hawker1949,CY4,SPEAKER,2004-11-16,2008-02-12,The SPEAKER,VIC,LP,Mr Hawker,Hon. David Hawker
Jenkins1952,HU6,SPEAKER,2008-02-12,2011-11-24,The SPEAKER,VIC,ALP,Mr Jenkins,Hon. Harry Jenkins
Slipper1950,EC4,SPEAKER,2011-11-28,2012-10-09,The SPEAKER,QLD,LNP,Mr Slipper,Hon. Peter Slipper
Burke1966,G26,SPEAKER,2012-10-09,2013-10-14,The SPEAKER,VIC,ALP,Ms Burke,Hon. Anna Burke
Burke1966,G26,SPEAKER,2012-10-09,2013-10-14,MADAM SPEAKER,VIC,ALP,Ms Burke,Hon. Anna Burke
Bishop1942,HQ4,SPEAKER,2013-11-12,2015-08-02,The SPEAKER,NSW,LP,Ms Bishop,Hon. Bronwyn Bishop
Bishop1942,HQ4,SPEAKER,2013-11-12,2015-08-02,MADAM SPEAKER,NSW,LP,Ms Bishop,Hon. Bronwyn Bishop
Smith1965,I45,SPEAKER,2015-08-10,2021-09-01,The SPEAKER,VIC,LP,Mr Smith,Hon. Tony Smith
Wallace1972,30479,SPEAKER,2021-09-01,2022-07-26,The SPEAKER,QLD,LNP,Mr Wallace,Hon. Andrew Wallace
Dick1971,53517,SPEAKER,2022-07-26,2025-03-28,The SPEAKER,QLD,ALP,Mr Dick,Hon. Milton Dick
Morton1974,47477,SPEAKER,2025-07-22,,The SPEAKER,WA,LP,Mr Morton,Hon. Ben Morton
,10000,PRESIDING_OFFICER,,,The SPEAKER,,,,
,10000,PRESIDING_OFFICER,,,The DEPUTY SPEAKER,,,,
,10000,PRESIDING_OFFICER,,,MADAM SPEAKER,,,,
,10000,PRESIDING_OFFICER,,,The CHAIR,,,,
,10000,PRESIDING_OFFICER,,,The DEPUTY CHAIR,,,,
,10000,PRESIDING_OFFICER,,,The ACTING SPEAKER,,,,
