unique_id,name_id,state_abbrev,senator_from,senator_to,senator_end_reason,sec15_sel
Abbott1859,JYU,VIC,1928-12-18,1929-06-30,Retired,1.0
Abbott1869,JLM,NSW,1925-11-14,1929-06-30,Defeated,0.0
Abbott1877,JNT,NSW,1935-07-01,1941-06-30,Defeated,0.0
Abetz1958,N26,TAS,1994-02-22,,,1.0
Adams1943,E4Q,WA,2005-07-01,2012-03-31,Died,0.0
Adamson1857,JZ2,QLD,1920-07-01,1922-05-02,Died,0.0
Allison1946,1M6,VIC,1996-07-01,2008-06-30,Defeated,0.0
Alston1941,LD4,VIC,1986-05-07,2004-02-10,Resigned,1.0
Amour1900,JZH,NSW,1938-07-01,1965-06-30,Retired,0.0
Anderson1909,JZQ,NSW,1953-07-01,1975-11-11,Retired,0.0
Andrew1866,JZW,VIC,1925-11-14,1928-11-18,Died,0.0
Anning1949,273829,QLD,2017-11-10,2019-06-30,,0.0
Antic1974,269375,SA,2019-07-01,,,0.0
Arbib1971,HES,NSW,2008-07-01,2012-03-05,Resigned,0.0
Archer1929,IE4,TAS,1975-12-13,1994-01-31,Resigned,0.0
Arkins1888,K08,NSW,1935-09-26,1937-10-22,Term Expired; Defeated,1.0
Armstrong1908,K0C,NSW,1938-07-01,1962-06-30,Retired,0.0
Arnold1902,K0N,NSW,1941-07-01,1965-06-30,Retired,0.0
Arthur1883,K0P,NSW,1938-07-01,1944-06-30,Defeated,0.0
Ashley1881,K0W,NSW,1937-10-23,1958-06-27,Died,0.0
Askew1963,281558,TAS,2019-03-06,,,0.0
Aulich1945,JE4,TAS,1984-12-01,1993-06-30,Defeated,0.0
Aylett1900,K0Z,TAS,1938-07-01,1965-06-30,Retired,0.0
Ayres,16913,NSW,2019-07-01,,,0.0
Back1950,J7Q,WA,2009-03-11,2017-07-31,Resigned,1.0
Badman1885,JNM,SA,1932-07-01,1937-09-30,Resigned,0.0
Baker1841,L2E,SA,1901-03-30,1906-12-31,Retired,0.0
Bakhap1866,K18,TAS,1913-07-01,1923-08-18,Diedb,0.0
Barker1846,K1I,VIC,1910-07-01,1920-06-30,Defeated,0.0
Barker1846,K1I,VIC,1923-07-01,1924-06-21,Died,0.0
Barnes1868,K1L,VIC,1913-07-01,1920-06-30,Defeated,0.0
Barnes1868,K1L,VIC,1923-07-01,1935-06-30,Defeated,0.0
Barnett1962,00AUF,TAS,2002-02-26,2011-06-30,Defeated,1.0
Barrett1858,K1O,VIC,1901-03-29,1903-12-31,Defeated,0.0
Bartlett1964,DT6,QLD,1997-10-30,2008-06-30,Defeated,1.0
Barwell1877,K1P,SA,1925-12-18,1928-03-22,Resigned,1.0
Baume1930,LE4,NSW,1985-07-01,1996-09-09,Resigned,0.0
Baume1935,ME4,NSW,1974-05-18,1991-01-28,Resigned,0.0
Beahan1937,NE4,WA,1987-07-11,1996-06-30,Defeated,0.0
Beerworth1886,K1Q,SA,1946-09-28,1951-03-19,Retired,0.0
Bell1950,7U4,TAS,1990-03-07,1996-06-30,Defeated,1.0
Benn1897,K1T,QLD,1950-07-01,1968-06-30,Retired,0.0
Benny1869,K1W,SA,1920-07-01,1926-01-26,Resigned,0.0
Bernardi1969,G0D,SA,2006-05-04,2020-01-20,Resigned,1.0
Bernardi1969,G0D,SA,2017-02-07,2019-06-25,Resigned,1.0
Bessell1923,K1X,TAS,1974-05-18,1975-11-11,Defeated,0.0
Best1856,JPC,VIC,1901-03-29,1910-06-30,Defeated,0.0
Bilyk1959,HZB,TAS,2008-07-01,,,0.0
Birmingham1974,H6X,SA,2007-05-03,,,1.0
Bishop1913,K1Y,SA,1962-07-01,1981-06-30,Retired,0.0
Bishop1942,SE4,NSW,1987-07-11,1994-02-24,Resigned,0.0
Bishop1954,2L6,WA,1996-07-01,2014-06-30,Retired,0.0
BjelkePetersen1920,ND4,QLD,1981-03-12,1993-06-30,Retired,1.0
Black1952,TE4,QLD,1984-12-01,1990-06-30,Defeated,0.0
Blakey1879,K22,VIC,1910-07-01,1917-06-30,Defeated,0.0
Bolkus1950,XE4,SA,1981-07-01,2005-06-30,Retired,0.0
Bolton1860,K2C,VIC,1917-07-01,1923-06-30,Defeated,0.0
Bonner1922,0V4,QLD,1971-06-11,1983-02-04,Defeated,1.0
Boswell1940,YE4,QLD,1983-03-05,2014-06-30,Retired,0.0
Bourne1954,TW4,NSW,1990-07-01,2002-06-30,Defeated,0.0
Boyce1951,H6V,QLD,2007-04-19,2014-06-30,Retired,1.0
Bragg1984,256063,NSW,2019-07-01,,,0.0
Brand1873,K2F,VIC,1935-07-01,1947-06-30,Defeated,0.0
Brandis1957,008W7,QLD,2000-05-16,2018-02-08,Resigned,1.0
Branson1918,K2I,WA,1958-11-22,1971-06-30,Retired,0.0
Breen1902,K2W,VIC,1962-07-01,1968-06-30,Retired,0.0
Brennan1866,K2Z,VIC,1931-05-12,1938-06-30,Defeated,1.0
Brockman1970,30484,WA,2017-08-16,,,0.0
